strain	virus	date	country	continent	division	location	host_type	length	authors	source	lineage	lineage_truncated
CY217698.1	Influenza B virus	2016-12-28	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Gubareva,L., Garten,R., Xu,X.	ncbi	A	A
CY217738.1	Influenza B virus	2016-12-28	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Gubareva,L., Garten,R., Xu,X.	ncbi	A	A
CY215458.1	Influenza B virus	2016-12-28	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
CY218392.1	Influenza B virus	2016-12-27	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
CY218412.1	Influenza B virus	2016-12-27	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
CY217458.1	Influenza B virus	2016-12-27	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Gubareva,L., Garten,R., Xu,X.	ncbi	A	A
CY215450.1	Influenza B virus	2016-12-27	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
OP678281.1	Influenza B virus	2017-01-16	Bhutan	Asia			Homo sapiens	1758	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi	A	A
MG674754.1	Influenza B virus	2017-01-03	Cameroon	Africa			Homo sapiens	1749	Monamele,C.G., Vernet,M.A., Njankouo,M.R., Kenmoe,S., Schoenhals,M., Yahaya,A.A., Anong,D.N., Akoachere,J.F., Njouom,R., Monamele,G.C., Vernet,M.-A., Anong,D.	ncbi	A	A
MG674757.1	Influenza B virus	2017-01-03	Cameroon	Africa			Homo sapiens	1749	Monamele,C.G., Vernet,M.A., Njankouo,M.R., Kenmoe,S., Schoenhals,M., Yahaya,A.A., Anong,D.N., Akoachere,J.F., Njouom,R., Monamele,G.C., Vernet,M.-A., Anong,D.	ncbi	A	A
MG674758.1	Influenza B virus	2017-02-20	Cameroon	Africa			Homo sapiens	1749	Monamele,C.G., Vernet,M.A., Njankouo,M.R., Kenmoe,S., Schoenhals,M., Yahaya,A.A., Anong,D.N., Akoachere,J.F., Njouom,R., Monamele,G.C., Vernet,M.-A., Anong,D.	ncbi	A	A
MG674759.1	Influenza B virus	2017-02-22	Cameroon	Africa			Homo sapiens	1749	Monamele,C.G., Vernet,M.A., Njankouo,M.R., Kenmoe,S., Schoenhals,M., Yahaya,A.A., Anong,D.N., Akoachere,J.F., Njouom,R., Monamele,G.C., Vernet,M.-A., Anong,D.	ncbi	A	A
MG674760.1	Influenza B virus	2017-02-27	Cameroon	Africa			Homo sapiens	1749	Monamele,C.G., Vernet,M.A., Njankouo,M.R., Kenmoe,S., Schoenhals,M., Yahaya,A.A., Anong,D.N., Akoachere,J.F., Njouom,R., Monamele,G.C., Vernet,M.-A., Anong,D.	ncbi	A	A
MG674761.1	Influenza B virus	2017-02-27	Cameroon	Africa			Homo sapiens	1749	Monamele,C.G., Vernet,M.A., Njankouo,M.R., Kenmoe,S., Schoenhals,M., Yahaya,A.A., Anong,D.N., Akoachere,J.F., Njouom,R., Monamele,G.C., Vernet,M.-A., Anong,D.	ncbi	A	A
MG674762.1	Influenza B virus	2017-01-03	Cameroon	Africa			Homo sapiens	1749	Monamele,C.G., Vernet,M.A., Njankouo,M.R., Kenmoe,S., Schoenhals,M., Yahaya,A.A., Anong,D.N., Akoachere,J.F., Njouom,R., Monamele,G.C., Vernet,M.-A., Anong,D.	ncbi	A	A
MG674763.1	Influenza B virus	2017-01-03	Cameroon	Africa			Homo sapiens	1757	Monamele,C.G., Vernet,M.A., Njankouo,M.R., Kenmoe,S., Schoenhals,M., Yahaya,A.A., Anong,D.N., Akoachere,J.F., Njouom,R., Monamele,G.C., Vernet,M.-A., Anong,D.	ncbi	A	A
MG674764.1	Influenza B virus	2017-01-06	Cameroon	Africa			Homo sapiens	1749	Monamele,C.G., Vernet,M.A., Njankouo,M.R., Kenmoe,S., Schoenhals,M., Yahaya,A.A., Anong,D.N., Akoachere,J.F., Njouom,R., Monamele,G.C., Vernet,M.-A., Anong,D.	ncbi	A	A
MN795803.1	Influenza B virus	2017-12-16	China	Asia			Homo sapiens	1758	Qian,X.	ncbi	A	A
OQ103037.1	Influenza B virus	2017-12-08	China	Asia			Homo sapiens	1758	Chen,H.	ncbi	A	A
MN795802.1	Influenza B virus	2017-12-05	China	Asia			Homo sapiens	1758	Qian,X.	ncbi	A	A
OQ103039.1	Influenza B virus	2017-11-21	China	Asia			Homo sapiens	1758	Chen,H.	ncbi	A	A
MN795801.1	Influenza B virus	2017-11-02	China	Asia			Homo sapiens	1758	Qian,X.	ncbi	A	A
MN795800.1	Influenza B virus	2017-10-15	China	Asia			Homo sapiens	1758	Qian,X.	ncbi	A	A
MN795799.1	Influenza B virus	2017-09-28	China	Asia			Homo sapiens	1758	Qian,X.	ncbi	A	A
MN795798.1	Influenza B virus	2017-09-25	China	Asia			Homo sapiens	1758	Qian,X.	ncbi	A	A
OQ103042.1	Influenza B virus	2017-09-12	China	Asia			Homo sapiens	1758	Chen,H.	ncbi	A	A
OQ103046.1	Influenza B virus	2017-06-26	China	Asia			Homo sapiens	1758	Chen,H.	ncbi	A	A
OQ103057.1	Influenza B virus	2017-06-12	China	Asia			Homo sapiens	1758	Chen,H.	ncbi	A	A
OQ109021.1	Influenza B virus	2017-05-17	China	Asia			Homo sapiens	1758	Chen,H.	ncbi	A	A
OQ109023.1	Influenza B virus	2017-04-19	China	Asia			Homo sapiens	1758	Chen,H.	ncbi	A	A
MH748710.1	Influenza B virus	2017-01-12	Ghana	Africa			Homo sapiens	1822	Yakubu,A.M., Ampofo,W.K., Kotey,E.	ncbi	A	A
MH748711.1	Influenza B virus	2017-02-10	Ghana	Africa			Homo sapiens	1810	Yakubu,A.M., Ampofo,W.K., Kotey,E.	ncbi	A	A
MT729806.1	Influenza B virus	2017-10-20	Iran	Asia			Homo sapiens	1856	Dastyar,H., Moattari,A., Pirbonyeh,N., Alizadeh,S.	ncbi	A	A
MG279359.1	Influenza B virus	2017-04-12	Japan	Asia			Homo sapiens	1758	Sitz,C.R., Raridon,B.L., Balansay,M.S., Hawksworth,A.W., Graf,P.C., Myers,C.A.	ncbi	A	A
MK969546.1	Influenza B virus	2017-08-27	Nicaragua	North America			Homo sapiens	1844	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Durbin,A., Williams,T., Arumemi,F., Alanis,R., Balmseda,A., Schiller,A., Patel,M., Kubale,J., Gordon,A.	ncbi	A.1	A.1
MK969196.1	Influenza B virus	2017-08-18	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Durbin,A., Williams,T., Arumemi,F., Alanis,R., Balmseda,A., Schiller,A., Patel,M., Kubale,J., Gordon,A.	ncbi	A	A
MK969488.1	Influenza B virus	2017-08-15	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Durbin,A., Williams,T., Arumemi,F., Alanis,R., Balmseda,A., Schiller,A., Patel,M., Kubale,J., Gordon,A.	ncbi	A	A
MK969494.1	Influenza B virus	2017-08-15	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Durbin,A., Williams,T., Arumemi,F., Alanis,R., Balmseda,A., Schiller,A., Patel,M., Kubale,J., Gordon,A.	ncbi	A	A
MK969342.1	Influenza B virus	2017-08-01	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Durbin,A., Williams,T., Arumemi,F., Alanis,R., Balmseda,A., Schiller,A., Patel,M., Kubale,J., Gordon,A.	ncbi	A	A
MK969257.1	Influenza B virus	2017-07-24	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Durbin,A., Williams,T., Arumemi,F., Alanis,R., Balmseda,A., Schiller,A., Patel,M., Kubale,J., Gordon,A.	ncbi	A	A
MK969480.1	Influenza B virus	2017-07-20	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Durbin,A., Williams,T., Arumemi,F., Alanis,R., Balmseda,A., Schiller,A., Patel,M., Kubale,J., Gordon,A.	ncbi	A	A
MK969539.1	Influenza B virus	2017-07-20	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Durbin,A., Williams,T., Arumemi,F., Alanis,R., Balmseda,A., Schiller,A., Patel,M., Kubale,J., Gordon,A.	ncbi	A	A
MK961585.1	Influenza B virus	2017-07-14	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Durbin,A., Williams,T., Arumemi,F., Alanis,R., Balmseda,A., Schiller,A., Patel,M., Kubale,J., Gordon,A.	ncbi	A	A
MK969387.1	Influenza B virus	2017-07-04	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Durbin,A., Williams,T., Arumemi,F., Alanis,R., Balmseda,A., Schiller,A., Patel,M., Kubale,J., Gordon,A.	ncbi	A	A
MK969381.1	Influenza B virus	2017-06-29	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Durbin,A., Williams,T., Arumemi,F., Alanis,R., Balmseda,A., Schiller,A., Patel,M., Kubale,J., Gordon,A.	ncbi	A	A
MK969166.1	Influenza B virus	2017-06-27	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Durbin,A., Williams,T., Arumemi,F., Alanis,R., Balmseda,A., Schiller,A., Patel,M., Kubale,J., Gordon,A.	ncbi	A	A
MK969282.1	Influenza B virus	2017-06-26	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Durbin,A., Williams,T., Arumemi,F., Alanis,R., Balmseda,A., Schiller,A., Patel,M., Kubale,J., Gordon,A.	ncbi	A	A
MK969366.1	Influenza B virus	2017-06-26	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Durbin,A., Williams,T., Arumemi,F., Alanis,R., Balmseda,A., Schiller,A., Patel,M., Kubale,J., Gordon,A.	ncbi	A	A
MK961928.1	Influenza B virus	2017-06-22	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Durbin,A., Williams,T., Arumemi,F., Alanis,R., Balmseda,A., Schiller,A., Patel,M., Kubale,J., Gordon,A.	ncbi	A	A
MN589230.1	Influenza B virus	2017-01-18	Singapore	Asia			Homo sapiens	1758	Virk,R.K., Jayakumar,J., Mendenhall,I.H., Moorthy,M., Lam,P., Linster,M., Lim,J., Lin,C., Oon,L.L., Lee,H.K., Koay,E.S., Vijaykrishna,D., Smith,G.J., Su,Y.C.	ncbi	A	A
MN589238.1	Influenza B virus	2017-02-02	Singapore	Asia			Homo sapiens	1758	Virk,R.K., Jayakumar,J., Mendenhall,I.H., Moorthy,M., Lam,P., Linster,M., Lim,J., Lin,C., Oon,L.L., Lee,H.K., Koay,E.S., Vijaykrishna,D., Smith,G.J., Su,Y.C.	ncbi	A	A
MN589246.1	Influenza B virus	2017-06-20	Singapore	Asia			Homo sapiens	1758	Virk,R.K., Jayakumar,J., Mendenhall,I.H., Moorthy,M., Lam,P., Linster,M., Lim,J., Lin,C., Oon,L.L., Lee,H.K., Koay,E.S., Vijaykrishna,D., Smith,G.J., Su,Y.C.	ncbi	A	A
MN589254.1	Influenza B virus	2017-07-24	Singapore	Asia			Homo sapiens	1758	Virk,R.K., Jayakumar,J., Mendenhall,I.H., Moorthy,M., Lam,P., Linster,M., Lim,J., Lin,C., Oon,L.L., Lee,H.K., Koay,E.S., Vijaykrishna,D., Smith,G.J., Su,Y.C.	ncbi	A	A
MG995029.1	Influenza B virus	2017-12-27	South Korea	Asia			Homo sapiens	1749	Kim,H.M., Lee,N., Kim,M.-S., Kim,J., Lee,A., Kang,M.G., Chung,Y.-S., Kang,C.	ncbi	A.2	A.2
OQ844262.1	Influenza B virus	2017-03-02	USA	North America			Homo sapiens	1879	Taylor,A.	ncbi	A.1	A.1
OQ844524.1	Influenza B virus	2017-12-31	USA	North America			Homo sapiens	1861	Taylor,A.	ncbi	A.1	A.1
MH581679.1	Influenza B virus	2017-12-24	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
MH130827.1	Influenza B virus	2017-12-24	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
MG830572.1	Influenza B virus	2017-12-24	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
MH581671.1	Influenza B virus	2017-12-22	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
MH130819.1	Influenza B virus	2017-12-22	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
MG830563.1	Influenza B virus	2017-12-22	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
MH081217.1	Influenza B virus	2017-12-21	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
MH081817.1	Influenza B virus	2017-12-20	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
MH081585.1	Influenza B virus	2017-12-18	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
MH581623.1	Influenza B virus	2017-12-12	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
MH581639.1	Influenza B virus	2017-12-12	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
MH130771.1	Influenza B virus	2017-12-12	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
MH130787.1	Influenza B virus	2017-12-12	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
OR240879.1	Influenza B virus	2017-09-18	Uganda	Africa			Homo sapiens	1749	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	A.3.1	A.3
OR240881.1	Influenza B virus	2017-11-27	Uganda	Africa			Homo sapiens	1749	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	A.3.2	A.3
OQ080062.1	Influenza B virus	2018-10-23	China	Asia			Homo sapiens	1758	Chen,H.	ncbi	A	A
OQ080065.1	Influenza B virus	2018-10-23	China	Asia			Homo sapiens	1758	Chen,H.	ncbi	A	A
OQ096477.1	Influenza B virus	2018-05-02	China	Asia			Homo sapiens	1758	Chen,H.	ncbi	A	A
MN795815.1	Influenza B virus	2018-05-02	China	Asia			Homo sapiens	1758	Qian,X.	ncbi	A	A
OQ096478.1	Influenza B virus	2018-04-09	China	Asia			Homo sapiens	1758	Chen,H.	ncbi	A	A
OQ102961.1	Influenza B virus	2018-04-04	China	Asia			Homo sapiens	1758	Chen,H.	ncbi	A	A
OQ102969.1	Influenza B virus	2018-03-21	China	Asia			Homo sapiens	1758	Chen,H.	ncbi	A	A
MN795813.1	Influenza B virus	2018-03-15	China	Asia			Homo sapiens	1758	Qian,X.	ncbi	A	A
OQ102970.1	Influenza B virus	2018-03-14	China	Asia			Homo sapiens	1758	Chen,H.	ncbi	A	A
MN795814.1	Influenza B virus	2018-03-06	China	Asia			Homo sapiens	1758	Qian,X.	ncbi	A	A
MN795812.1	Influenza B virus	2018-03-04	China	Asia			Homo sapiens	1758	Qian,X.	ncbi	A	A
MN795808.1	Influenza B virus	2018-03-01	China	Asia			Homo sapiens	1758	Qian,X.	ncbi	A	A
MN795811.1	Influenza B virus	2018-02-06	China	Asia			Homo sapiens	1758	Qian,X.	ncbi	A	A
MK937917.1	Influenza B virus	2018-09-03	India	Asia			Homo sapiens	1669	Potdar,V., Hinge,D., Anukumar,B.	ncbi	A	A
MH675548.1	Influenza B virus	2018-03-28	India	Asia			Homo sapiens	1768	Potdar,V., Vipat,V., Raj,K., Chadha,M.	ncbi	A	A
MH675549.1	Influenza B virus	2018-04-19	India	Asia			Homo sapiens	1768	Potdar,V., Vipat,V., Raj,K., Chadha,M.	ncbi	A	A
MH675550.1	Influenza B virus	2018-05-11	India	Asia			Homo sapiens	1768	Potdar,V., Vipat,V., Raj,K., Chadha,M.	ncbi	A	A
MH675551.1	Influenza B virus	2018-03-20	India	Asia			Homo sapiens	1768	Potdar,V., Vipat,V., Raj,K., Chadha,M.	ncbi	A	A
MH675557.1	Influenza B virus	2018-02-05	India	Asia			Homo sapiens	1768	Potdar,V., Vipat,V., Chadha,M.	ncbi	A	A
MH675560.1	Influenza B virus	2018-02-10	India	Asia			Homo sapiens	1768	Potdar,V., Vipat,V., Chadha,M.	ncbi	A	A
MH675839.1	Influenza B virus	2018-03-21	India	Asia			Homo sapiens	1768	Potdar,V., Vipat,V., Koul,P., Chadha,M.	ncbi	A	A
MH706597.1	Influenza B virus	2018-01-09	Mexico	North America			Homo sapiens	1752	Sitz,C.R., Koster,B.L., Balansay-Ames,M.S., Graf,P.C., Myers,C.A.	ncbi	A.1	A.1
PV226003.1	Influenza B virus	2018-12-14	Nicaragua	North America			Homo sapiens	1704	Woodard,K., Thomas,P., Gordon,A., Webby,R., Mukherjee,N.	ncbi	A.1	A.1
MN589422.1	Influenza B virus	2018-10-18	Singapore	Asia			Homo sapiens	1758	Virk,R.K., Jayakumar,J., Mendenhall,I.H., Moorthy,M., Lam,P., Linster,M., Lim,J., Lin,C., Oon,L.L., Lee,H.K., Koay,E.S., Vijaykrishna,D., Smith,G.J., Su,Y.C.	ncbi	A	A
MN589454.1	Influenza B virus	2018-11-18	Singapore	Asia			Homo sapiens	1758	Virk,R.K., Jayakumar,J., Mendenhall,I.H., Moorthy,M., Lam,P., Linster,M., Lim,J., Lin,C., Oon,L.L., Lee,H.K., Koay,E.S., Vijaykrishna,D., Smith,G.J., Su,Y.C.	ncbi	A	A
MN589462.1	Influenza B virus	2018-12-03	Singapore	Asia			Homo sapiens	1758	Virk,R.K., Jayakumar,J., Mendenhall,I.H., Moorthy,M., Lam,P., Linster,M., Lim,J., Lin,C., Oon,L.L., Lee,H.K., Koay,E.S., Vijaykrishna,D., Smith,G.J., Su,Y.C.	ncbi	A	A
MN589470.1	Influenza B virus	2018-12-12	Singapore	Asia			Homo sapiens	1758	Virk,R.K., Jayakumar,J., Mendenhall,I.H., Moorthy,M., Lam,P., Linster,M., Lim,J., Lin,C., Oon,L.L., Lee,H.K., Koay,E.S., Vijaykrishna,D., Smith,G.J., Su,Y.C.	ncbi	A	A
MN589526.1	Influenza B virus	2018-10-18	Singapore	Asia			Homo sapiens	1749	Virk,R.K., Jayakumar,J., Mendenhall,I.H., Moorthy,M., Lam,P., Linster,M., Lim,J., Lin,C., Oon,L.L., Lee,H.K., Koay,E.S., Vijaykrishna,D., Smith,G.J., Su,Y.C.	ncbi	A.2	A.2
MN589534.1	Influenza B virus	2018-11-13	Singapore	Asia			Homo sapiens	1758	Virk,R.K., Jayakumar,J., Mendenhall,I.H., Moorthy,M., Lam,P., Linster,M., Lim,J., Lin,C., Oon,L.L., Lee,H.K., Koay,E.S., Vijaykrishna,D., Smith,G.J., Su,Y.C.	ncbi	A	A
MN589542.1	Influenza B virus	2018-12-03	Singapore	Asia			Homo sapiens	1758	Virk,R.K., Jayakumar,J., Mendenhall,I.H., Moorthy,M., Lam,P., Linster,M., Lim,J., Lin,C., Oon,L.L., Lee,H.K., Koay,E.S., Vijaykrishna,D., Smith,G.J., Su,Y.C.	ncbi	A	A
MN589550.1	Influenza B virus	2018-12-04	Singapore	Asia			Homo sapiens	1758	Virk,R.K., Jayakumar,J., Mendenhall,I.H., Moorthy,M., Lam,P., Linster,M., Lim,J., Lin,C., Oon,L.L., Lee,H.K., Koay,E.S., Vijaykrishna,D., Smith,G.J., Su,Y.C.	ncbi	A	A
MN589558.1	Influenza B virus	2018-12-10	Singapore	Asia			Homo sapiens	1752	Virk,R.K., Jayakumar,J., Mendenhall,I.H., Moorthy,M., Lam,P., Linster,M., Lim,J., Lin,C., Oon,L.L., Lee,H.K., Koay,E.S., Vijaykrishna,D., Smith,G.J., Su,Y.C.	ncbi	A.1	A.1
MN589574.1	Influenza B virus	2018-12-31	Singapore	Asia			Homo sapiens	1758	Virk,R.K., Jayakumar,J., Mendenhall,I.H., Moorthy,M., Lam,P., Linster,M., Lim,J., Lin,C., Oon,L.L., Lee,H.K., Koay,E.S., Vijaykrishna,D., Smith,G.J., Su,Y.C.	ncbi	A	A
MN822671.1	Influenza B virus	2018-02-05	South Korea	Asia			Homo sapiens	1836	Kim,J.S., Kim,J.K., Kim,M.S., Lee,N.J., Jeong,Y.S., Han,M.G.	ncbi	A.2	A.2
MK380239.1	Influenza B virus	2018-01-16	Spain	Europe			Homo sapiens	1752	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi	A.1	A.1
MT803397.1	Influenza B virus	2018-10-24	Thailand	Asia			Homo sapiens	1758	Suntronwong,N., Klinfueng,S., Korkong,S., Vichaiwattana,P., Thongmee,T., Vongpunsawad,S., Poovorawan,Y.	ncbi	A	A
MT803398.1	Influenza B virus	2018-11-25	Thailand	Asia			Homo sapiens	1758	Suntronwong,N., Klinfueng,S., Korkong,S., Vichaiwattana,P., Thongmee,T., Vongpunsawad,S., Poovorawan,Y.	ncbi	A	A
MT803399.1	Influenza B virus	2018-09-01	Thailand	Asia			Homo sapiens	1758	Suntronwong,N., Klinfueng,S., Korkong,S., Vichaiwattana,P., Thongmee,T., Vongpunsawad,S., Poovorawan,Y.	ncbi	A	A
MT803437.1	Influenza B virus	2018-12-11	Thailand	Asia			Homo sapiens	1749	Suntronwong,N., Klinfueng,S., Korkong,S., Vichaiwattana,P., Thongmee,T., Vongpunsawad,S., Poovorawan,Y.	ncbi	A.3.2	A.3
MN561375.1	Influenza B virus	2018-09-25	Thailand	Asia			Homo sapiens	1856	Rattanaburi,S., Mayuramart,O., Khamwut,A., Chanchaem,P., Pooworawan,Y., Payungporn,S.	ncbi	A	A
MZ603950.1	Influenza B virus	2018-02-13	USA	North America			Homo sapiens	1879	Direct Submission	ncbi	A.1	A.1
MZ603939.1	Influenza B virus	2018-02-12	USA	North America			Homo sapiens	1879	Direct Submission	ncbi	A.1	A.1
MW651774.1	Influenza B virus	2018-02-12	USA	North America			Homo sapiens	1879	Direct Submission	ncbi	A.1	A.1
MZ604030.1	Influenza B virus	2018-02-11	USA	North America			Homo sapiens	1879	Direct Submission	ncbi	A.1	A.1
MK630511.1	Influenza B virus	2018-12-25	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
MK630487.1	Influenza B virus	2018-12-23	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
MK630495.1	Influenza B virus	2018-12-23	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
MK630551.1	Influenza B virus	2018-12-22	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
MK554911.1	Influenza B virus	2018-12-18	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
MK630471.1	Influenza B virus	2018-12-16	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
MK554900.1	Influenza B virus	2018-12-12	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
MK474511.1	Influenza B virus	2018-11-13	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
MK474569.1	Influenza B virus	2018-11-04	USA	North America			Homo sapiens	1856	Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.	ncbi	A	A
OQ594387.1	Influenza B virus	2019-10-08	Australia	Oceania			Homo sapiens	1749	Wang,X., Kim,K.W., Walker,G., Stelzer-Braid,S., Scotch,M., Rawlinson,W.D.	ncbi	A.3.2	A.3
OQ594385.1	Influenza B virus	2019-09-29	Australia	Oceania			Homo sapiens	1749	Wang,X., Kim,K.W., Walker,G., Stelzer-Braid,S., Scotch,M., Rawlinson,W.D.	ncbi	A.3.2	A.3
OQ594386.1	Influenza B virus	2019-09-25	Australia	Oceania			Homo sapiens	1749	Wang,X., Kim,K.W., Walker,G., Stelzer-Braid,S., Scotch,M., Rawlinson,W.D.	ncbi	A.3.2	A.3
OQ594382.1	Influenza B virus	2019-09-07	Australia	Oceania			Homo sapiens	1749	Wang,X., Kim,K.W., Walker,G., Stelzer-Braid,S., Scotch,M., Rawlinson,W.D.	ncbi	A.3.2	A.3
OQ594383.1	Influenza B virus	2019-09-05	Australia	Oceania			Homo sapiens	1749	Wang,X., Kim,K.W., Walker,G., Stelzer-Braid,S., Scotch,M., Rawlinson,W.D.	ncbi	A.3.2	A.3
OQ594381.1	Influenza B virus	2019-08-29	Australia	Oceania			Homo sapiens	1749	Wang,X., Kim,K.W., Walker,G., Stelzer-Braid,S., Scotch,M., Rawlinson,W.D.	ncbi	A.3.2	A.3
